"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201515,"406 19TH AVENUE SW  OR P O BOX 33","LANETT","AL",36863,32.864917973,-85.209506206,15,"406 19TH AVENUE SW  OR P O BOX 33, LANETT, AL, 36863","Match","Exact","406 19TH AVE SW, LANETT, AL, 36863",3054158,"R"
201516,"406 25TH AVE","MERIDIAN","MS",39301,32.362001665,-88.701807692,16,"406 25TH AVE, MERIDIAN, MS, 39301","Match","Exact","406 25TH AVE, MERIDIAN, MS, 39301",195702,"R"
201517,"406 2ND AVE N","SARTELL","MN",56377,45.625566701,-94.206572173,17,"406 2ND AVE N, SARTELL, MN, 56377","Match","Exact","406 2ND AVE N, SARTELL, MN, 56377",107413806,"R"
201518,"406 4TH AVE","MASON","OH",45040,39.356811792,-84.316205425,18,"406 4TH AVE, MASON, OH, 45040","Match","Exact","406 4TH AVE, MASON, OH, 45040",159022262,"R"
201519,"406 5TH ST NW","BONDURANT","IA",50035,41.70549372,-93.472309428,19,"406 5TH ST NW, BONDURANT, IA, 50035","Match","Exact","406 5TH ST NW, BONDURANT, IA, 50035",65865366,"R"
201520,"406 5TH ST","RAPID CITY","SD",57701,44.081684233,-103.224872388,20,"406 5TH ST, RAPID CITY, SD, 57701","Match","Exact","406 5TH ST, RAPID CITY, SD, 57701",205508550,"L"
201521,"406 5TH STREET","RAPID CITY","SD",57701,44.081684233,-103.224872388,21,"406 5TH STREET, RAPID CITY, SD, 57701","Match","Exact","406 5TH ST, RAPID CITY, SD, 57701",205508550,"L"
201522,"406 9TH AVENUE SUITE 311","SAN DIEGO","CA",92101,32.7095348440001,-117.156456874,22,"406 9TH AVENUE SUITE 311, SAN DIEGO, CA, 92101","Match","Exact","406 9TH AVE, SAN DIEGO, CA, 92101",195344617,"L"
201523,"406 ALBERT WAY","APPLETON","WI",54915,44.252614807,-88.33496214,23,"406 ALBERT WAY, APPLETON, WI, 54915","Match","Exact","406 ALBERT WAY, APPLETON, WI, 54915",617909123,"R"
201524,"406 ALISON AVE","MECHANICSBURG","PA",17055,40.207858039,-76.9969583559999,24,"406 ALISON AVE, MECHANICSBURG, PA, 17055","Match","Exact","406 ALISON AVE, MECHANICSBURG, PA, 17055",640453733,"R"
201525,"406 ANDERAON ROAD","LINDEN","NC",28356,NA,NA,25,"406 ANDERAON ROAD, LINDEN, NC, 28356","No_Match",NA,NA,NA,NA
201526,"406 AVENUE E","WEST POINT","IA",52656,40.718067842,-91.4536033379999,26,"406 AVENUE E, WEST POINT, IA, 52656","Match","Exact","406 AVENUE E, WEST POINT, IA, 52656",5591847,"R"
201527,"406 AVENUE S WEST","FORT DODGE","IA",50501,NA,NA,27,"406 AVENUE S WEST, FORT DODGE, IA, 50501","Tie",NA,NA,NA,NA
201528,"406 B CONCHO STREET","LOCKHEART","TX",78644,29.8806565670001,-97.678647078,28,"406 B CONCHO STREET, LOCKHEART, TX, 78644","Match","Non_Exact","406 CONCHO ST, LOCKHART, TX, 78644",45531158,"R"
201529,"406 B VIA ROSA","SANTA BARBARA","CA",93110,34.446388208,-119.75540671,29,"406 B VIA ROSA, SANTA BARBARA, CA, 93110","Match","Exact","406 VIA ROSA, SANTA BARBARA, CA, 93110",624082361,"R"
201530,"406 BARRON STREET","BENSENVILLE","IL",60106,41.9476471250001,-87.946733143,30,"406 BARRON STREET, BENSENVILLE, IL, 60106","Match","Exact","406 BARRON ST, BENSENVILLE, IL, 60106",112544033,"R"
201531,"406 BARTH AVE SE","GRAND RAPIDS","MI",49506,42.9553246580001,-85.6419464429999,31,"406 BARTH AVE SE, GRAND RAPIDS, MI, 49506","Match","Exact","406 BARTH AVE SE, GRAND RAPIDS, MI, 49506",12461550,"L"
201532,"406 BILTMORE WAY","LAFAYETTE","LA",70508,30.171590877,-92.044621776,32,"406 BILTMORE WAY, LAFAYETTE, LA, 70508","Match","Exact","406 BILTMORE WAY, LAFAYETTE, LA, 70508",628653315,"R"
201533,"406 BLANCHE STREET","MONTICELLO","GA",31064,33.3033892010001,-83.701360307,33,"406 BLANCHE STREET, MONTICELLO, GA, 31064","Match","Exact","406 BLANCHE ST, MONTICELLO, GA, 31064",66626604,"L"
201534,"406 BLUE JAY DR","HEWITT","TX",76643,31.4613080340001,-97.189128889,34,"406 BLUE JAY DR, HEWITT, TX, 76643","Match","Exact","406 BLUE JAY DR, HEWITT, TX, 76643",146743361,"L"
201535,"406 BOBWHITE COURT","STATESBORO","GA",30458,32.4576456390001,-81.8039933009999,35,"406 BOBWHITE COURT, STATESBORO, GA, 30458","Match","Non_Exact","406 BOB WHITE CT, STATESBORO, GA, 30458",627206734,"L"
201536,"406 BROADWAY  SUITE 182","SANTA MONICA","CA",90401,34.0152171830001,-118.493414112,36,"406 BROADWAY  SUITE 182, SANTA MONICA, CA, 90401","Match","Exact","406 BROADWAY, SANTA MONICA, CA, 90401",142715935,"R"
201537,"406 BROADWAY ST","ROCK SPRINGS","WY",82901,41.585697119,-109.220447833,37,"406 BROADWAY ST, ROCK SPRINGS, WY, 82901","Match","Exact","406 BROADWAY ST, ROCK SPRINGS, WY, 82901",637240979,"R"
201538,"406 BROADWAY STREET","MYRTLE BEACH","SC",29577,33.691823055,-78.89030364,38,"406 BROADWAY STREET, MYRTLE BEACH, SC, 29577","Match","Exact","406 BROADWAY ST, MYRTLE BEACH, SC, 29577",29057250,"R"
201539,"406 BROOK AVE","BAY SHORE","NY",11706,40.7400107070001,-73.25762524,39,"406 BROOK AVE, BAY SHORE, NY, 11706","Match","Exact","406 BROOK AVE, BAY SHORE, NY, 11706",114228921,"R"
201540,"406 BROWN STREET","WAXAHACHIE","TX",75165,32.3960814610001,-96.8420133119999,40,"406 BROWN STREET, WAXAHACHIE, TX, 75165","Match","Exact","406 BROWN ST, WAXAHACHIE, TX, 75165",103451002,"R"
201541,"406 BROWN STREET","WEST COLUMBIA","SC",29169,NA,NA,41,"406 BROWN STREET, WEST COLUMBIA, SC, 29169","Tie",NA,NA,NA,NA
201542,"406 BRYANT ST","PETAL","MS",39465,31.3629330370001,-89.23635117,42,"406 BRYANT ST, PETAL, MS, 39465","Match","Exact","406 BRYANT ST, PETAL, MS, 39465",326399,"R"
201543,"406 BUCHANAN AVE","CAPE CANAVERAL","FL",32920,28.381564155,-80.600977359,43,"406 BUCHANAN AVE, CAPE CANAVERAL, FL, 32920","Match","Exact","406 BUCHANAN AVE, CAPE CANAVERAL, FL, 32920",93898586,"L"
201544,"406 BURRELL AVE N14","LEWISTON","ID",83501,46.377005941,-117.009608759,44,"406 BURRELL AVE N14, LEWISTON, ID, 83501","Match","Exact","406 BURRELL AVE, LEWISTON, ID, 83501",173140121,"L"
201545,"406 CEDAR LN","SHOREWOOD","IL",60404,41.5271484140001,-88.200182723,45,"406 CEDAR LN, SHOREWOOD, IL, 60404","Match","Exact","406 CEDAR LN, SHOREWOOD, IL, 60404",111536838,"L"
201546,"406 CHARLES STREET","LEBANON","PA",17042,40.3195234390001,-76.378074681,46,"406 CHARLES STREET, LEBANON, PA, 17042","Match","Exact","406 CHARLES ST, LEBANON, PA, 17042",617548024,"L"
201547,"406 CHURCH HILL DR","FINDLAY","OH",45840,41.0097521060001,-83.6567711179999,47,"406 CHURCH HILL DR, FINDLAY, OH, 45840","Match","Exact","406 CHURCH HILL DR, FINDLAY, OH, 45840",36468400,"R"
201548,"406 COAL TRAIN COURT","DELAWARE","OH",43015,40.298440865,-83.103785504,48,"406 COAL TRAIN COURT, DELAWARE, OH, 43015","Match","Non_Exact","406 COALTRAIN CT, DELAWARE, OH, 43015",640694647,"L"
201549,"406 CONNELLY ST","DOTHAN","AL",36301,31.2020885540001,-85.3912810209999,49,"406 CONNELLY ST, DOTHAN, AL, 36301","Match","Exact","406 CONNELLY ST, DOTHAN, AL, 36301",101215961,"R"
201550,"406 COUNTRY CLUB DRIVE","ELLWOOD CITY","PA",16117,40.8274091760001,-80.251979004,50,"406 COUNTRY CLUB DRIVE, ELLWOOD CITY, PA, 16117","Match","Exact","406 COUNTRY CLUB DR, ELLWOOD CITY, PA, 16117",52564046,"R"
201551,"406 CROSS STREET","NORTH MANKATO","MN",56003,44.170248917,-94.011188273,51,"406 CROSS STREET, NORTH MANKATO, MN, 56003","Match","Exact","406 CROSS ST, NORTH MANKATO, MN, 56003",28688505,"R"
201552,"406 CYPRESS ST","VALDOSTA","GA",31601,30.837833215,-83.275262684,52,"406 CYPRESS ST, VALDOSTA, GA, 31601","Match","Exact","406 CYPRESS ST, VALDOSTA, GA, 31601",87717917,"L"
